2018-01-08 20:13:37,370 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-08 20:13:37,386 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Saiprashanthi\workspace7\OnlineDress\src\test\resources
2018-01-08 20:15:44,797 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-08 20:15:44,797 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-08 20:15:44,797 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-08 20:15:44,797 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Saiprashanthi\workspace7\OnlineDress\src\test\resources
2018-01-08 20:16:07,422 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-01-08 20:16:15,240 [Worker-55] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Saiprashanthi\workspace7\OnlineDress
2018-01-08 20:16:15,240 [Worker-55] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2018-01-08 20:16:15,361 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-08 20:16:15,377 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-08 20:16:15,377 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-08 20:16:15,377 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Saiprashanthi\workspace7\OnlineDress\src\test\resources
2018-01-08 20:18:24,904 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-08 20:18:24,920 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-08 20:18:24,920 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-08 20:18:24,920 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Saiprashanthi\workspace7\OnlineDress\src\test\resources
2018-01-08 20:23:26,610 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-08 20:23:26,610 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-08 20:23:26,610 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-08 20:23:26,610 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Saiprashanthi\workspace7\OnlineDress\src\test\resources
